Date,Open,High,Low,Close,Volume
2019/4/8,3271.271973,3288.452881,3210.514893,3244.810059,504500
2019/4/9,3240.394043,3251.645996,3215.705078,3239.664063,364200
2019/4/10,3224.64502,3264.778076,3204.878906,3241.929932,380100
2019/4/11,3241.547119,3254.125977,3185.545898,3189.961914,353000
2019/4/12,3184.860107,3199.278076,3168.041992,3188.625977,289800
2019/4/15,3233.458008,3253.976074,3177.27002,3177.787109,348800
2019/4/16,3164.396973,3253.5979,3153.206055,3253.5979,357900
2019/4/17,3250.1521,3275.333984,3239.804932,3263.11792,357500
2019/4/18,3261.073975,3271.387939,3241.825928,3250.200928,325500
2019/4/19,3250.14502,3274.334961,3226.812012,3270.797119,305700
2019/4/22,3278.490967,3279.489014,3206.87793,3215.042969,353200
2019/4/23,3211.87207,3231.582031,3186.75708,3198.593994,328400
2019/4/24,3203.559082,3210.650879,3156.606934,3201.614014,274900
2019/4/25,3190.584961,3193.749023,3123.025879,3123.825928,325900
2019/4/26,3108.164063,3129.212891,3085.804932,3086.398926,280900
2019/5/6,2984.727051,2986.540039,2876.468994,2906.464111,327000
2019/5/7,2914.291016,2937.282959,2889.072998,2926.391113,253300
2019/5/8,2873.143066,2929.430908,2866.704102,2893.75708,231500
2019/5/9,2871.197021,2888.860107,2845.037109,2850.954102,200000
2019/5/10,2878.233887,2941.454102,2838.38501,2939.210938,282300
2019/5/13,2905.066895,2921.409912,2892.175049,2903.712891,212000
2019/5/14,2872.833984,2909.204102,2872.833984,2883.611084,208300
2019/5/15,2902.64209,2945.39502,2902.64209,2938.677979,230500
2019/5/16,2933.495117,2956.170898,2929.064941,2955.710938,248400
2019/5/17,2955.76709,2956.782959,2873.800049,2882.295898,266300
2019/5/20,2874.801025,2882.628906,2838.452881,2870.60498,209500
2019/5/21,2867.707031,2919.237061,2862.495117,2905.968994,211400
2019/5/22,2905.523926,2912.39502,2879.644043,2891.705078,200000
2019/5/23,2880.843018,2885.138916,2846.956055,2852.514893,197300
2019/5/24,2847.835938,2871.855957,2846.021973,2852.995117,167200
2019/5/27,2851.281006,2898.128906,2833.035889,2892.37793,196700
2019/5/28,2890.266113,2924.040039,2887.083984,2909.910889,223300
2019/5/29,2894.830078,2934.977051,2890.665039,2914.696045,199000
2019/5/30,2903.425049,2907.845947,2881.379883,2905.804932,205800
2019/5/31,2904.498047,2922.907959,2895.577881,2898.696045,195200
2019/6/3,2901.741943,2920.829102,2875.9021,2890.081055,215900
2019/6/4,2887.641113,2888.385986,2851.9729,2862.280029,188500
2019/6/5,2882.937012,2888.768066,2858.572021,2861.417969,181600
2019/6/6,2862.333008,2862.333008,2822.185059,2827.798096,177100
2019/6/10,2833.014893,2861.131104,2824.35498,2852.129883,166600
2019/6/11,2854.070068,2927.429932,2854.070068,2925.716064,260500
2019/6/12,2917.224121,2924.701904,2903.883057,2909.379883,240300
2019/6/13,2905.288086,2918.423096,2885.923096,2910.740967,213000
2019/6/14,2912.999023,2924.320068,2879.656982,2881.974121,215400
2019/6/17,2880.423096,2902.480957,2877.394043,2887.62207,154000
2019/6/18,2891.092041,2898.330078,2874.312988,2890.157959,147700
2019/6/19,2944.11499,2953.335938,2916.215088,2917.802979,230800
2019/6/20,2917.331055,2997.388916,2915.090088,2987.118896,291000
2019/6/21,2990.368896,3010.349121,2989.245117,3001.97998,287000
2019/6/24,3004.289063,3012.825928,2994.422119,3008.147949,210500
2019/6/25,3004.909912,3004.909912,2948.990967,2982.073975,243700
2019/6/26,2964.61499,2986.914063,2958.462891,2976.283936,174400
2019/6/27,2982.613037,3011.538086,2981.044922,2996.792969,195400
2019/6/28,2992.24292,2992.24292,2961.2229,2978.87793,181400
2019/7/1,3024.624023,3045.366943,3014.687012,3044.903076,243300
2019/7/2,3042.580078,3048.483887,3033.781006,3043.943115,208100
2019/7/3,3031.832031,3031.832031,3006.324951,3015.262939,205900
2019/7/4,3015.678955,3024.501953,2991.907959,3005.249023,188600
2019/7/5,3004.738037,3014.846924,2990.925049,3011.059082,152100
2019/7/8,2997.806885,2997.806885,2918.716064,2933.363037,205200
2019/7/9,2928.819092,2937.761963,2912.805908,2928.22998,140700
2019/7/10,2935.186035,2936.751953,2908.162109,2915.302002,131400
2019/7/11,2928.054932,2945.802002,2907.88501,2917.760986,139400
2019/7/12,2915.340088,2938.530029,2905.810059,2930.550049,133700
2019/7/15,2921.550049,2955,2886.699951,2942.189941,162600
2019/7/16,2938.639893,2944.820068,2931.290039,2937.620117,127800
2019/7/17,2933.02002,2942.070068,2924.459961,2931.689941,145100
2019/7/18,2921.73999,2921.73999,2901.179932,2901.179932,145400
2019/7/19,2909.679932,2939.600098,2909.679932,2924.199951,145000
2019/7/22,2925.788086,2927.159912,2879.689941,2886.974121,175300
2019/7/23,2886.899902,2901.360107,2883.050049,2899.939941,125400
2019/7/24,2907.929932,2936.449951,2907.790039,2923.280029,150500
2019/7/25,2923.189941,2937.360107,2916.149902,2937.360107,141300
2019/7/26,2928.060059,2948.330078,2924.449951,2944.540039,135100
2019/7/29,2943.919922,2948.469971,2932.97998,2941.01001,124200
2019/7/30,2946.26001,2965.629883,2946.26001,2952.340088,143900
2019/7/31,2944.399902,2944.399902,2926.48999,2932.51001,136900
2019/8/1,2920.850098,2927.340088,2901.75,2908.77002,138100
2019/8/2,2861.330078,2872.469971,2851.439941,2867.840088,179400
2019/8/5,2854.580078,2863.689941,2821.5,2821.5,162400
2019/8/6,2776.989014,2787.418945,2733.924072,2777.555908,224200
2019/8/7,2789.019043,2792.693115,2768.679932,2768.679932,153000
2019/8/8,2784.184082,2799.686035,2782.245117,2794.552002,145000
2019/8/9,2805.590088,2808.330078,2770.47998,2774.75,143800
2019/8/12,2781.97998,2814.98999,2776.620117,2814.98999,131600
2019/8/13,2798.050049,2802.040039,2790.610107,2797.26001,130900
2019/8/14,2824.48999,2829.889893,2807.719971,2808.909912,144000
2019/8/15,2762.340088,2815.899902,2756.830078,2815.800049,152800
2019/8/16,2817.570068,2840.320068,2811.800049,2823.820068,148600
2019/8/19,2835.52002,2883.100098,2829.850098,2883.100098,214500
2019/8/20,2879.080078,2892.080078,2875,2880,189700
2019/8/21,2875.469971,2885.590088,2872.560059,2880.330078,159000
2019/8/22,2887.659912,2888.5,2867.550049,2883.439941,149200
2019/8/23,2885.149902,2902.459961,2878.73999,2897.429932,159200
2019/8/26,2851.02002,2870.48999,2849.23999,2863.570068,169900
2019/8/27,2879.52002,2919.639893,2879.409912,2902.189941,208100
