Date,Open,High,Low,Close,Volume
2019/4/8,10510.42969,10541.19043,10226.25,10351.87012,248100
2019/4/9,10368.03027,10438.99023,10304.73047,10436.62012,189900
2019/4/10,10403.24023,10529.74023,10328.61035,10435.08008,206500
2019/4/11,10420.65039,10437.4502,10149.37988,10158.40039,179500
2019/4/12,10138.08984,10186.46973,10053.80957,10132.33984,143400
2019/4/15,10294.82031,10365.30957,10048.83008,10053.75977,168100
2019/4/16,9993.25,10287.63965,9928.280273,10287.63965,175500
2019/4/17,10288.4502,10410.65039,10257.55957,10344.42969,188300
2019/4/18,10338.5,10363.84961,10267.30957,10287.66992,157300
2019/4/19,10280.33984,10418.24023,10208.61035,10418.24023,156700
2019/4/22,10418.70996,10418.70996,10192.51953,10224.30957,174500
2019/4/23,10206.01953,10247.38965,10091.91992,10124.66016,159000
2019/4/24,10162.37988,10239.37012,10023.91016,10236.26953,161300
2019/4/25,10186.23047,10209.13965,9902.019531,9907.620117,172800
2019/4/26,9852.94043,9927.740234,9774.75,9780.820313,140600
2019/5/6,9289.740234,9333.919922,8893.150391,8943.519531,167900
2019/5/7,9011.519531,9160.519531,8928.570313,9089.459961,130700
2019/5/8,8899.910156,9167.80957,8873.44043,9002.530273,121100
2019/5/9,8919.5,9012.240234,8860.169922,8877.30957,101700
2019/5/10,8988.919922,9238.549805,8820.589844,9235.389648,145100
2019/5/13,9112.519531,9191.070313,9059.320313,9103.360352,106400
2019/5/14,8998.969727,9142.459961,8996.919922,9038.360352,100800
2019/5/15,9125.269531,9282.959961,9123.900391,9259.030273,110600
2019/5/16,9247.990234,9307.219727,9211.75,9293.320313,117300
2019/5/17,9299.459961,9303.049805,8964.370117,9000.19043,135800
2019/5/20,8980.799805,8994.179688,8792.839844,8916.110352,113900
2019/5/21,8920.459961,9120.69043,8892.150391,9087.519531,118300
2019/5/22,9068.990234,9132.370117,8986.530273,9041.219727,111500
2019/5/23,8997.25,8997.25,8789.410156,8809.530273,111300
2019/5/24,8788.169922,8880.80957,8745.599609,8776.769531,93000
2019/5/27,8795.139648,9003.870117,8732.980469,8979.830078,117200
2019/5/28,8979.580078,9082.700195,8946.700195,9035.69043,109700
2019/5/29,8971.219727,9077.509766,8956.719727,9010.360352,96400
2019/5/30,8974.400391,8974.400391,8845.830078,8943.349609,105900
2019/5/31,8939.410156,9016.160156,8892.120117,8922.69043,95700
2019/6/3,8953.370117,9012.080078,8826.75,8856.990234,107300
2019/6/4,8854.5,8868.089844,8697.490234,8748.269531,95400
2019/6/5,8831.129883,8851.120117,8729.209961,8746.049805,87600
2019/6/6,8741.830078,8741.830078,8557.580078,8584.94043,93000
2019/6/10,8621.730469,8748.969727,8582.480469,8711.790039,86800
2019/6/11,8721.269531,9045.120117,8718.469727,9037.669922,134600
2019/6/12,9008.55957,9038.870117,8930.910156,8954.719727,114800
2019/6/13,8948.580078,8974.799805,8866.219727,8951.610352,97300
2019/6/14,8956.919922,8994.160156,8801.330078,8810.129883,104500
2019/6/17,8807.839844,8864.769531,8753.419922,8780.870117,76400
2019/6/18,8785.769531,8839.230469,8722.929688,8804.320313,70500
2019/6/19,9051.849609,9084.179688,8923.44043,8925.730469,112500
2019/6/20,8923.570313,9183.150391,8900.75,9134.959961,134900
2019/6/21,9181.639648,9252.549805,9158.320313,9214.269531,143100
2019/6/24,9220.230469,9251.480469,9171.349609,9212.120117,104900
2019/6/25,9206.179688,9206.179688,9004.759766,9118.099609,105700
2019/6/26,9064.129883,9164.280273,9040.320313,9122.429688,77200
2019/6/27,9154.040039,9274.419922,9152.629883,9239.480469,96500
2019/6/28,9236.05957,9236.05957,9126.889648,9178.30957,86400
2019/7/1,9384.790039,9530.459961,9339.769531,9530.459961,153600
2019/7/2,9516.419922,9560.519531,9483.160156,9545.519531,131300
2019/7/3,9519.799805,9520.379883,9376.30957,9419.839844,104300
2019/7/4,9435.040039,9466.019531,9323.070313,9368.299805,90900
2019/7/5,9379.94043,9464.389648,9345.790039,9443.219727,74500
2019/7/8,9419.69043,9420.240234,9124.160156,9186.290039,104100
2019/7/9,9178.910156,9221.719727,9119.650391,9198.790039,71800
2019/7/10,9231.860352,9239.280273,9130.530273,9166.150391,74900
2019/7/11,9216.950195,9282.950195,9121.459961,9152.769531,74700
2019/7/12,9161.269531,9236.419922,9122.410156,9213.379883,75200
2019/7/15,9181.030273,9358.080078,9066.709961,9309.419922,106400
2019/7/16,9294.55957,9324.910156,9255.429688,9283.410156,91200
2019/7/17,9274.69043,9354.80957,9242.25,9302,110100
2019/7/18,9258.120117,9258.120117,9153.009766,9154.650391,96600
2019/7/19,9198.820313,9298.209961,9198.820313,9228.549805,87800
2019/7/22,9247.280273,9254.650391,9073.490234,9122.639648,92900
2019/7/23,9125.459961,9175.830078,9104.759766,9175.830078,70800
2019/7/24,9203.230469,9312.669922,9203.230469,9266.299805,93600
2019/7/25,9265.30957,9344.820313,9247.969727,9344.820313,99000
2019/7/26,9310.650391,9363.269531,9294.610352,9349,81700
2019/7/29,9350.209961,9376.419922,9310.629883,9354.280273,85500
2019/7/30,9362.230469,9469.080078,9362.230469,9399.099609,100300
2019/7/31,9374.44043,9374.44043,9318.589844,9326.610352,82200
2019/8/1,9278.830078,9327.94043,9223.30957,9268.049805,83100
2019/8/2,9049.349609,9150.730469,9020.259766,9136.459961,103200
2019/8/5,9093.070313,9168.099609,8984.730469,8984.730469,94000
2019/8/6,8805.150391,8898.379883,8669.900391,8859.469727,123300
2019/8/7,8919.889648,8933.990234,8814.740234,8814.740234,81400
2019/8/8,8870.179688,8936.480469,8859.480469,8919.280273,78400
2019/8/9,8963.469727,8970.519531,8780.719727,8795.179688,86100
2019/8/12,8816.889648,8978.519531,8798.5,8978.519531,85000
2019/8/13,8910.150391,8960.019531,8869.459961,8902.629883,75300
2019/8/14,9034.049805,9060.400391,8956.080078,8966.469727,98800
2019/8/15,8779.530273,9011.769531,8758.040039,9009.679688,99000
2019/8/16,9007.150391,9136.209961,8995.570313,9060.919922,105200
2019/8/19,9165.799805,9328.969727,9141.889648,9328.969727,147200
2019/8/20,9340.660156,9389.389648,9301.919922,9328.730469,135500
2019/8/21,9304.519531,9361.740234,9287.30957,9322.75,112800
2019/8/22,9350.650391,9363.790039,9282.759766,9350.55957,116400
2019/8/23,9357,9397.759766,9311.259766,9362.549805,112100
2019/8/26,9181.709961,9298.099609,9173.009766,9270.389648,117100
2019/8/27,9333.099609,9517.650391,9333.099609,9443.179688,145800
2019/8/28,9449.400391,9453.759766,9375.570313,9414,121000
2019/8/29,9429,9440.669922,9363.150391,9398.469727,112400
2019/8/30,9458.389648,9492.040039,9310.110352,9365.679688,125500
2019/9/2,9393.030273,9586.519531,9389.480469,9569.469727,130900
2019/9/3,9591.419922,9633.69043,9547.759766,9633.69043,134200
2019/9/4,9612.620117,9700.320313,9590.980469,9700.320313,149700
2019/9/5,9752.339844,9900.759766,9751.950195,9783.5,198800
2019/9/6,9829.969727,9837.230469,9742.269531,9823.419922,144100
2019/9/9,9907.129883,10001.92969,9853.69043,10001.92969,178100
2019/9/10,10005.80957,10005.80957,9903.419922,9964.929688,165800
2019/9/11,9985.110352,10000.25,9835.969727,9853.719727,151200
2019/9/12,9886.25,9941.169922,9837.269531,9919.799805,119700
2019/9/16,9952.330078,9962.150391,9877.110352,9918.089844,129600
2019/9/17,9890.580078,9890.580078,9684.150391,9722.799805,134600
2019/9/18,9747.980469,9785.620117,9701.639648,9753.30957,104800
2019/9/19,9786.400391,9852.200195,9733.969727,9852.200195,112600
2019/9/20,9873.94043,9903.69043,9832.389648,9881.25,122100
2019/9/23,9853.469727,9853.469727,9703.660156,9781.139648,120500
2019/9/24,9783.389648,9896.179688,9761.030273,9811.379883,125900
2019/9/25,9768.379883,9768.379883,9656.049805,9671.05957,122300
2019/9/26,9698.280273,9707.919922,9464.839844,9464.839844,120600
2019/9/27,9470.540039,9574.5,9467.150391,9548.959961,92800
2019/9/30,9544.019531,9581.639648,9446.040039,9446.240234,81800
2019/10/8,9474.570313,9556.959961,9468.740234,9474.75,86200
2019/10/9,9443.450195,9507.040039,9380.570313,9506.55957,82100
2019/10/10,9504.030273,9643.519531,9480.169922,9638.099609,97800
2019/10/11,9656.980469,9704.679688,9583.519531,9666.580078,100700
2019/10/14,9753.580078,9840.589844,9725.679688,9786.639648,124500
2019/10/15,9759.950195,9759.950195,9658.509766,9671.730469,107200
2019/10/16,9678.30957,9722.120117,9635.450195,9642.05957,93400
2019/10/17,9657.089844,9670.700195,9617.009766,9645.389648,81000
2019/10/18,9665.80957,9706.379883,9516.75,9533.509766,96900
2019/10/21,9533.089844,9560.980469,9476.450195,9553.570313,82600
